year,region,landuse,area_ha
2019,Taranaki,Sheep,50262.19706
2019,Tasman,Beef,25744.45557
2019,Tasman,Dairy,28859.80867
2019,Tasman,Other livestock,1828.545564
2019,Tasman,Sheep,25457.35561
2019,Waikato,Beef,270708.0917
2019,Waikato,Dairy,628420.0941
2019,Waikato,Other livestock,24835.36825
2019,Waikato,Sheep,162413.4689
2019,Wellington,Beef,87981.62323
2019,Wellington,Dairy,34008.55948
2019,Wellington,Other livestock,6923.900118
2019,Wellington,Sheep,158547.4898
2019,West Coast,Beef,24614.69669
2019,West Coast,Dairy,70903.97195
2019,West Coast,Other livestock,5721.323626
2019,West Coast,Sheep,2956.097506
2002,Area Outside Region,Forestry,560.5
2002,Area Outside Region,Grain,22
2002,Area Outside Region,Horticultural,0
2002,Auckland,Forestry,48790
2002,Auckland,Grain,2478.1
2002,Auckland,Horticultural,9195.3
2002,Bay of Plenty,Forestry,251090
2002,Bay of Plenty,Grain,7509.6
2002,Bay of Plenty,Horticultural,14678.6
2002,Canterbury,Forestry,105810.8
2002,Canterbury,Grain,207214.8
2002,Canterbury,Horticultural,12384.7
2002,Gisborne,Forestry,129898.8
2002,Gisborne,Grain,6009.5
2002,Gisborne,Horticultural,7279.1
2002,Hawke's Bay,Forestry,123759.7
2002,Hawke's Bay,Grain,15663.7
2002,Hawke's Bay,Horticultural,17920.9
2002,Manawatu-Whanganui,Forestry,136946.2
2002,Manawatu-Whanganui,Grain,25108.7
2002,Manawatu-Whanganui,Horticultural,4985.1
2002,Marlborough,Forestry,64156
2002,Marlborough,Grain,9257.9
2002,Marlborough,Horticultural,10052.4
2002,Nelson,Forestry,10972.2
2002,Nelson,Grain,26.2
2002,Nelson,Horticultural,170.8
2002,Northland,Forestry,168446.2
2002,Northland,Grain,3040.8
2002,Northland,Horticultural,5143.7
2002,Otago,Forestry,132807.3
2002,Otago,Grain,62704.6
2002,Otago,Horticultural,5153.5
2002,Southland,Forestry,66916.5
2002,Southland,Grain,54475.5
2002,Southland,Horticultural,1343
2002,Taranaki,Forestry,28073.6
2002,Taranaki,Grain,4093.8
2002,Taranaki,Horticultural,1157.9
2002,Tasman,Forestry,85213.8
2002,Tasman,Grain,1836.6
2002,Tasman,Horticultural,6995.6
2002,Waikato,Forestry,329785.2
2002,Waikato,Grain,16869.2
2002,Waikato,Horticultural,10298.2
2002,Wellington,Forestry,69867.3
2002,Wellington,Grain,8337.8
2002,Wellington,Horticultural,2416.1
2002,West Coast,Forestry,35896
2002,West Coast,Grain,1483.9
2002,West Coast,Horticultural,257.2
2007,Area Outside Region,Forestry,28
2007,Area Outside Region,Grain,8.8
2007,Area Outside Region,Horticultural,4.9
2007,Auckland,Forestry,35228.1
2007,Auckland,Grain,1780.9
2007,Auckland,Horticultural,9647.3
2007,Bay of Plenty,Forestry,257412.3
2007,Bay of Plenty,Grain,7142.7
2007,Bay of Plenty,Horticultural,16185.7
2007,Canterbury,Forestry,99856
2007,Canterbury,Grain,195149.6
2007,Canterbury,Horticultural,16053.7
2007,Gisborne,Forestry,149041
2007,Gisborne,Grain,4344.9
2007,Gisborne,Horticultural,8995.5
2007,Hawke's Bay,Forestry,136860
2007,Hawke's Bay,Grain,9396
2007,Hawke's Bay,Horticultural,19340.3
2007,Manawatu-Whanganui,Forestry,118417
2007,Manawatu-Whanganui,Grain,16032.5
2007,Manawatu-Whanganui,Horticultural,5103.5
2007,Marlborough,Forestry,63647.8
2007,Marlborough,Grain,5765.8
2007,Marlborough,Horticultural,23380.2
2007,Nelson,Forestry,9409.4
2007,Nelson,Grain,6.3
2007,Nelson,Horticultural,133
2007,Northland,Forestry,161582
2007,Northland,Grain,2313.5
2007,Northland,Horticultural,5841.1
2007,Otago,Forestry,122315.1
2007,Otago,Grain,53591
2007,Otago,Horticultural,7387.3
2007,Southland,Forestry,70792.1
2007,Southland,Grain,46154.4
2007,Southland,Horticultural,1234.3
2007,Taranaki,Forestry,25870.6
2007,Taranaki,Grain,2010.5
2007,Taranaki,Horticultural,505.9
2007,Tasman,Forestry,81770.3
2007,Tasman,Grain,1329.2
2007,Tasman,Horticultural,6850.1
2007,Waikato,Forestry,283486.3
2007,Waikato,Grain,18064.5
2007,Waikato,Horticultural,9726.3
2007,Wellington,Forestry,62500.2
2007,Wellington,Grain,4623.9
2007,Wellington,Horticultural,2065.3
2007,West Coast,Forestry,33277.3
2007,West Coast,Grain,885.2
2007,West Coast,Horticultural,73.9
2012,Area Outside Region,Forestry,74.3
2012,Area Outside Region,Grain,114.9
2012,Area Outside Region,Horticultural,0
2012,Auckland,Forestry,34105.5
2012,Auckland,Grain,2911.4
2012,Auckland,Horticultural,8298.9
2012,Bay of Plenty,Forestry,241599.7
2012,Bay of Plenty,Grain,6608.2
2012,Bay of Plenty,Horticultural,14877.1
2012,Canterbury,Forestry,94720.4
2012,Canterbury,Grain,242080.8
2012,Canterbury,Horticultural,16424.1
2012,Gisborne,Forestry,153417.8
2012,Gisborne,Grain,3999.4
2012,Gisborne,Horticultural,8319.8
2012,Hawke's Bay,Forestry,129815.4
2012,Hawke's Bay,Grain,15473.4
2012,Hawke's Bay,Horticultural,20711
2012,Manawatu-Whanganui,Forestry,120539.5
2012,Manawatu-Whanganui,Grain,22664.6
2012,Manawatu-Whanganui,Horticultural,4812.1
2012,Marlborough,Forestry,63400.9
2012,Marlborough,Grain,6355.3
2012,Marlborough,Horticultural,25186.7
2012,Nelson,Forestry,8677.1
2012,Nelson,Grain,59.4
2012,Nelson,Horticultural,52
2012,Northland,Forestry,151556.4
2012,Northland,Grain,2772.9
2012,Northland,Horticultural,5187.5
2012,Otago,Forestry,115303
2012,Otago,Grain,68097.4
2012,Otago,Horticultural,5582
2012,Southland,Forestry,70529.4
2012,Southland,Grain,61383.8
2012,Southland,Horticultural,1234.1
2012,Taranaki,Forestry,23443.3
2012,Taranaki,Grain,2539.7
2012,Taranaki,Horticultural,479.1
2012,Tasman,Forestry,79437
2012,Tasman,Grain,1684.9
2012,Tasman,Horticultural,6456.9
2012,Waikato,Forestry,248883.4
2012,Waikato,Grain,22463.4
2012,Waikato,Horticultural,8262.2
2012,Wellington,Forestry,61711.8
2012,Wellington,Grain,8682.9
2012,Wellington,Horticultural,1995.8
2012,West Coast,Forestry,25410.9
2012,West Coast,Grain,1781.1
2012,West Coast,Horticultural,118.4
2017,Area Outside Region,Forestry,287.9
2017,Area Outside Region,Grain,23.9
2017,Area Outside Region,Horticultural,0
2017,Auckland,Forestry,36682.6
2017,Auckland,Grain,3221.4
2017,Auckland,Horticultural,10998.9
2017,Bay of Plenty,Forestry,292376.5
2017,Bay of Plenty,Grain,6534.9
2017,Bay of Plenty,Horticultural,13889.8
2017,Canterbury,Forestry,79647.7
2017,Canterbury,Grain,237868
2017,Canterbury,Horticultural,15244.2
2017,Gisborne,Forestry,132857.1
2017,Gisborne,Grain,5596.4
2017,Gisborne,Horticultural,9371.3
2017,Hawke's Bay,Forestry,119886.2
2017,Hawke's Bay,Grain,16511.2
2017,Hawke's Bay,Horticultural,19727.2
2017,Manawatu-Whanganui,Forestry,125176.7
2017,Manawatu-Whanganui,Grain,23329.7
2017,Manawatu-Whanganui,Horticultural,4330.2
2017,Marlborough,Forestry,60386.9
2017,Marlborough,Grain,7100.9
2017,Marlborough,Horticultural,25637.4
2017,Nelson,Forestry,8688.4
2017,Nelson,Grain,125.3
2017,Nelson,Horticultural,131.9
2017,Northland,Forestry,131270.2
2017,Northland,Grain,3209.5
2017,Northland,Horticultural,5285.2
2017,Otago,Forestry,112660
2017,Otago,Grain,75312.9
2017,Otago,Horticultural,4405
2017,Southland,Forestry,76207.5
2017,Southland,Grain,62943.6
2017,Southland,Horticultural,1826.2
2017,Taranaki,Forestry,22655.5
2017,Taranaki,Grain,4091.7
2017,Taranaki,Horticultural,351.9
2017,Tasman,Forestry,74898.9
2017,Tasman,Grain,1935
2017,Tasman,Horticultural,6378.9
2017,Waikato,Forestry,231812.8
2017,Waikato,Grain,28716
2017,Waikato,Horticultural,6963.7
2017,Wellington,Forestry,55008.1
2017,Wellington,Grain,10841.2
2017,Wellington,Horticultural,1850.2
2017,West Coast,Forestry,18483.3
2017,West Coast,Grain,3192.1
2017,West Coast,Horticultural,70.5
2019,Area Outside Region,Forestry,44.0535713
2019,Area Outside Region,Grain,0
2019,Area Outside Region,Horticultural,0
2019,Auckland,Forestry,40020.57077
2019,Auckland,Grain,2290.944623
2019,Auckland,Horticultural,9493.49105
2019,Bay of Plenty,Forestry,281258.3821
2019,Bay of Plenty,Grain,8532.950651
2019,Bay of Plenty,Horticultural,15362.19927
2019,Canterbury,Forestry,89077.19551
2019,Canterbury,Grain,229257.27
2019,Canterbury,Horticultural,17287.63885
2019,Gisborne,Forestry,129402.3052
2019,Gisborne,Grain,5670.104152
2019,Gisborne,Horticultural,8390.770713
2019,Hawke's Bay,Forestry,128695.0829
2019,Hawke's Bay,Grain,16421.18144
2019,Hawke's Bay,Horticultural,20625.19278
2019,Manawatu-Whanganui,Forestry,140175.725
2019,Manawatu-Whanganui,Grain,26188.485
2019,Manawatu-Whanganui,Horticultural,4874.498993
2019,Marlborough,Forestry,59003.70005
2019,Marlborough,Grain,5497.625191
2019,Marlborough,Horticultural,28962.31343
2019,Nelson,Forestry,8619.454993
2019,Nelson,Grain,0
2019,Nelson,Horticultural,85.53999982
2019,Northland,Forestry,137155.2163
2019,Northland,Grain,4652.09535
2019,Northland,Horticultural,5527.422517
2019,Otago,Forestry,119986.3681
2019,Otago,Grain,75752.61599
2019,Otago,Horticultural,4576.99718
2019,Southland,Forestry,76679.52061
2019,Southland,Grain,62980.27034
2019,Southland,Horticultural,1683.384932
2019,Taranaki,Forestry,21104.21088
2019,Taranaki,Grain,6631.714146
2019,Taranaki,Horticultural,513.8904914
2019,Tasman,Forestry,72622.91052
2019,Tasman,Grain,2218.047055
2019,Tasman,Horticultural,6892.60023
2019,Waikato,Forestry,211170.3514
2019,Waikato,Grain,27419.79615
2019,Waikato,Horticultural,6304.593906
2019,Wellington,Forestry,56111.0982
2019,Wellington,Grain,10398.24058
2019,Wellington,Horticultural,1905.585238
2019,West Coast,Forestry,26830.36191
2019,West Coast,Grain,3851.707612
2019,West Coast,Horticultural,230.5333337
